target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
GASAL,GASAL,done,gasal.png,Gasal,"Gasal Q.S.C., Qatar industrial gases company",official-site,https://www.gasal.com.qa/sites/gasal/files/2026-06/gasal-logo-horizontal-bilingual-wide-colour1.svg,The 2026 bilingual colour lockup.
GFH Financial Group,GFH Financial Group; Gulf Finance House,done,gfh-financial-group.png,GFH,"GFH Financial Group B.S.C. (formerly Gulf Finance House), Bahrain",wikimedia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/GFH_Financial_Group_logo.svg/1920px-GFH_Financial_Group_logo.svg.png,"Wikipedia's 1920px PNG render of the SVG, downloaded locally because the original was rate-limited."
GRID-Arendal,GRID-Arendal,done,grid-arendal.png,GRID-Arendal,"GRID-Arendal (UNEP partner foundation), Arendal, Norway",official-site,https://www.grida.no/,"The site's inline SVG symbol icon-GALogo2020, which includes the line 'A UNEP Partner'."
GRS,GRS,failed,,GRS,,,,"Identity unclear: 'GRS' in the UK could be several firms (for example GRS Group, GRS Roadstone, Global Resources Services or Geo Risk Services), and nothing in the record says which one."
Gatsby Charitable Foundation,Gatsby Charitable Foundation,done,gatsby-charitable-foundation.png,Gatsby,"Gatsby Charitable Foundation, United Kingdom",official-site,https://www.gatsby.org.uk/,"Stacked lockup (running figure over GATSBY) taken from the inline SVG in the site header, because Wikimedia was rate-limited. The brand itself captions as 'Gatsby'."
Gazprom Neft,Gazprom Neft Middle East,done,gazprom-neft.png,Gazprom Neft,"Gazprom Neft PJSC, Russia (parent of Gazprom Neft Middle East)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Gazprom_Neft_-_logo.png/1280px-Gazprom_Neft_-_logo.png,"This is the Russian-language (Cyrillic) lockup. The English lockup on Wikipedia is only 122px wide, and gazprom-neft.com could not be reached, so check that Cyrillic is acceptable for this Middle East client."
General Organization for Social Insurance (GOSI),General Organization for Social Insurance (GOSI),done,gosi.png,GOSI,"General Organization for Social Insurance (GOSI), Saudi Arabia",official-site,https://www.gosi.gov.sa/gptscripts/GOSILogo.eb4de07c6f398bc1.svg,"Current bilingual lockup (gosi, Arabic and 'Social Insurance') in SVG, taken from the site stylesheet."
Generations for Peace,Generations for Peace,done,generations-for-peace.png,Generations For Peace,"Generations For Peace, Jordan",official-site,https://www.generationsforpeace.org/wp-content/uploads/2025/03/g5.png,"Bilingual stacked header logo, 464x474 raster."
Ghana Chamber of Mines,Ghana Chamber of Mines,failed,,Ghana Chamber of Mines,"Ghana Chamber of Mines, Ghana",,,"The Wikipedia logo (Ghana_Chamber_of_Mines_logo.gif) is only 202x110px, and the official site ghanachamberofmines.org serves a captcha to automated requests, including with a browser user agent."
Ghana Energy Commission,Ghana Energy Commission,failed,,Energy Commission,"Energy Commission, Ghana",,,"No logo on Wikipedia or Commons. The header logo on energycom.gov.gh is only 303x75px, and no SVG or larger file was found there."
Ghana National Petroleum Corporation,Ghana National Petroleum Corporation,done,gnpc.png,GNPC,"Ghana National Petroleum Corporation (GNPC), Ghana",official-site,https://www.gnpcghana.com/static/assets/images/logos/site_logo_black.png,"Full horizontal lockup, 1875x625 raster. Wikimedia was rate-limited, so it was not checked first."
Ghana Public Utilities Regulatory Commission,Ghana Public Utilities Regulatory Commission,failed,,PURC,"Public Utilities Regulatory Commission (PURC), Ghana",,,"No logo on Wikipedia or Commons. The best file on purc.com.gh is 389x351px after trimming, below the 400px minimum, and the header logo is only 122px."
Ghana Volta River Authority,Ghana Volta River Authority,done,volta-river-authority.png,Volta River Authority,"Volta River Authority (VRA), Ghana",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/VRA_Logo.png/1280px-VRA_Logo.png,"Triangle emblem from Commons. The source is soft and looks upscaled, though it is legible. The logo on vra.com is only 210px wide, so it could not be used instead."
Global Biodiversity Information Facility (GBIF),Global Biodiversity Information Facility (GBIF),done,gbif.png,GBIF,"Global Biodiversity Information Facility (GBIF), Denmark",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Gbif-full-green-logo.svg/1280px-Gbif-full-green-logo.svg.png,Full green lockup. Used Wikimedia's PNG render because the SVG original was rate-limited.
Global Geophysical Services,Global Geophysical Services,failed,,Global Geophysical Services,Global Geophysical Services (seismic acquisition company),,,"The Wikipedia page has no logo image. The largest logo on globalgeophysical.com is a 360x360 JPG, below the 400px minimum."
Goodyear,Goodyear,done,goodyear.png,Goodyear,"The Goodyear Tire and Rubber Company, United States",official-site,https://www.goodyear.com/_next/static/media/primary-dark-brand-logo.2bpgmlh3ffhwu.svg,"Official primary wordmark in SVG, in Goodyear yellow on white. The Wikipedia page image is a photo of the headquarters, not the logo."
Government of Thailand,Government of Thailand,done,government-of-thailand.png,Government of Thailand,"Royal Thai Government, Thailand (national emblem, the Garuda)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Emblem_of_Thailand.svg,"National emblem, used because the government has no mark of its own."
Green Party of Ireland,Green Party of Ireland,done,green-party-ireland.png,Green Party,"Green Party / Comhaontas Glas, Ireland",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Green_Party_%28Ireland%29_logo.svg/1280px-Green_Party_%28Ireland%29_logo.svg.png,Stacked green lockup. The website header logo is white only.
Group Five,Group Five,failed,,Group Five,"Group Five Ltd, South Africa (construction group, in business rescue and liquidated around 2020)",,,"The Wikipedia page has no logo, Commons has none, and the company website groupfive.co.za no longer responds."
Guerbet,Guerbet,done,guerbet.png,Guerbet,"Guerbet SA, France",official-site,https://www.guerbet.com/themes/custom/guerbet_theme/logo.svg,"Standard lockup (wordmark plus squares) in SVG from the site theme. The site header currently shows a '100 years' anniversary variant, which was not used."
Gulf Medical Company,Gulf Medical Company,failed,,Gulf Medical,"Gulf Medical Co. Ltd, Jeddah, Saudi Arabia (gulfmedical.com)",,,"Not on Wikipedia or Commons. The bilingual header logo from the site's CMS is 388x105px, below the 400px minimum, and no larger file or SVG was found."
Gulf Petrochemicals and Chemicals Association (GPCA),Gulf Petrochemicals and Chemicals Association (GPCA),done,gpca.png,GPCA,"Gulf Petrochemicals and Chemicals Association (GPCA), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/GPCA_logo2.jpg/960px-GPCA_logo2.jpg,"Bilingual lockup from Commons. The JPG is soft but legible. gpca.org.ae serves a captcha, so I could not confirm the logo is still current. The batch lists 'Roche' as parent, which looks wrong and was ignored."
GulfDrug,GulfDrug,failed,,GulfDrug,"GulfDrug LLC, UAE pharmaceutical distributor (gulfdrug.com)",,,"Not on Wikipedia or Commons. The site header logo is 169x94px and the footer version 275x152px, both below the 400px minimum. The og:image is a '50 years' anniversary graphic, not the logo."
HES-SO Valais-Wallis,HES-SO Valais-Wallis,done,hes-so-valais-wallis.png,HES-SO Valais-Wallis,"HES-SO Valais-Wallis (University of Applied Sciences and Arts Western Switzerland, Valais), Switzerland",official-site,https://www.hevs.ch/_nuxt/img/logo_hesso.9af1d79.svg,No Wikipedia/Commons logo for the Valais school itself; header SVG from hevs.ch.
HKA,HKA,done,hka.png,HKA,"HKA Global (dispute resolution and risk consultancy, offices in Dubai/UAE)",official-site,https://www.hka.com/wp-content/themes/hka2/assets/img/logo.svg,No Wikipedia logo; used the site header SVG.
Hanover Communications Middle East,Hanover Communications Middle East,done,hanover-communications.png,Hanover Communications,"Hanover Communications (Hanover Middle East, Dubai office of the UK PR group Hanover Communications), UAE/UK",official-site,https://hanovercomms.com/,Inline header SVG saved from hanovercomms.com; the Middle East office uses the group's Hanover wordmark. No Wikipedia page.
Harman,Harman International Romania,done,harman.png,Harman,"Harman International Industries (a Samsung company), USA; Romanian subsidiary",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c2/Harman_International_logo.svg,
Headquarters Nigerian Air Force,Headquarters Nigerian Air Force,done,nigerian-air-force.png,Nigerian Air Force,"Nigerian Air Force (Headquarters), Nigeria",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Nigerian_Air_Force_emblem.svg/1280px-Nigerian_Air_Force_emblem.svg.png,"SVG original was blocked by rate limit (429), so I used Wikimedia's 1280px PNG render of the same file."
Hellenic Telecomms & Post Comm,Hellenic Telecomms & Post Comm,done,eett.png,EETT,"Hellenic Telecommunications and Post Commission (EETT), Greece",official-site,https://www.eett.gr/wp-content/uploads/2021/07/logo.svg,"Wikipedia only has an old 309px logo (Oldereettlogos.jpg), which is outdated and too small, so I used the current header SVG from eett.gr. Logo text is in Greek. The batch lists the sector as aviation/transport; EETT is the telecoms and post regulator."
Hemsley Fraser,Hemsley Fraser,done,hemsley-fraser.png,Hemsley Fraser,"Hemsley Fraser Group, United Kingdom",official-site,https://assets.foleon.com/eu-central-1/de-uploads-7e3kk3/48922/new_colours.4e41ea4355ff.png,"The site header SVG is white-only, so I cropped the colour logo from Hemsley Fraser's own brand page (media.hemsleyfraser.com/brand/our-new-logo). It is a raster at 770px wide."
Higher Colleges of Technology UAE,Higher Colleges of Technology UAE,done,higher-colleges-of-technology.png,Higher Colleges of Technology,"Higher Colleges of Technology (HCT), UAE",official-site,https://hct.ac.ae/wp-content/themes/HCTtheme/assets/images/logo-ar.svg,Bilingual Arabic/English header SVG; the logo is wide and short.
Hitachi Energy Holdings,Hitachi Energy Holdings,done,hitachi-energy.png,Hitachi Energy,"Hitachi Energy Ltd, Switzerland (Hitachi group)",official-site,https://www.hitachienergy.com/content/dam/web/logo/hitachi_logo_2025.svg,Hitachi Energy's site header and its Wikipedia infobox both use the Hitachi wordmark. There is no separate Hitachi Energy lockup.
House of Representatives Thailand,House of Representatives Thailand,done,thailand-house-of-representatives.png,House of Representatives of Thailand,House of Representatives of Thailand (National Assembly of Thailand),wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Seal_of_the_Parliament_of_Thailand.svg/1280px-Seal_of_the_Parliament_of_Thailand.svg.png,"Seal of the Parliament of Thailand, as used on parliament.go.th. SVG original was blocked by rate limit, so I used Wikimedia's PNG render."
IAPB,IAPB,done,iapb.png,IAPB,"International Agency for the Prevention of Blindness, United Kingdom",official-site,https://www.iapb.org/wp-content/uploads/2026/01/IAPB_iD_June2025_2000px.jpg,"Wikipedia only has an outdated GIF. The og:image on iapb.org is the clean 2025 logo, black on white."
"IDH, The Sustainable Trade Initiative","IDH, The Sustainable Trade Initiative",done,idh.png,IDH,"IDH, the Sustainable Trade Initiative (now IDH – transforming markets), Netherlands",official-site,https://idh.org/,"No Wikipedia page. Inline header SVG from idh.org, coloured with the site's brand foreground colour #00625f."
IEC,IEC,done,iec.png,IEC,"International Electrotechnical Commission, Switzerland",wikimedia,https://upload.wikimedia.org/wikipedia/commons/3/3e/International_Electrotechnical_Commission_Logo.svg,
IMO,IMO,failed,,IMO,,,,"Identity unclear. The candidates are Industrial Materials Organization (imo.com.sa, a Saudi tools distributor), the International Maritime Organization (UN body, not Saudi) and other Saudi bodies abbreviated IMO. None clearly matches the professional services and associations sector."
INTERREG IVC,INTERREG IVC,failed,,INTERREG IVC,"INTERREG IVC (EU interregional cooperation programme 2007-2013, Lille, France), successor Interreg Europe",,,"The last INTERREG IVC logo is not on Wikimedia Commons, and interreg4c.eu now redirects to Interreg Europe, so neither channel yields the IVC mark."
ITP Media Group,ITP Media Group,done,itp-media-group.png,ITP Media Group,"ITP Media Group, Dubai, UAE",official-site,https://www.itp.com/wp-content/uploads/2026/05/ITP-MASTER-LOGO-FILE-01.svg,"No logo on Wikipedia. Master logo SVG (the logo in the site's schema data) from itp.com, fetched with a browser user agent."
Idama Facilities Management Solutions,Idama Facilities Management Solutions,failed,,Idama,"Idama Facilities Management Solutions, Dubai, UAE (facilities management arm of Ejadah Asset Management Group)",,,"Idama no longer shows its own logo. idama.ae now redirects to parent Ejadah's site, which carries only the Ejadah logo, and Wikimedia has no Idama logo. If Will wants the parent mark, Ejadah's logo is available."
Imperial College Healthcare Charity,Imperial College Healthcare Charity,done,imperial-health-charity.png,Imperial Health Charity,"Imperial Health Charity (formerly Imperial College Healthcare Charity), United Kingdom",official-site,https://www.imperialcharity.org.uk/download_file/view/1449/883,"Colour PNG logo with strapline, as in the site header, from the charity's logos download page. No Wikipedia page."
Index on Censorship,Index on Censorship,done,index-on-censorship.png,Index on Censorship,"Index on Censorship, United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/a/a7/Index_raster-rgb.png,"Raster, 502px after trim. It matches the site's current logo, which was too small at 394px."
